StudentID,Name,Gender,Class,Section,ExamTerm,Math,Science,English,History,Computer,Total,Average,Grade
S0043,Joseph Robinson,Male,10C,,Term 1,50.0,14.0,93.0,37.0,26.0,220.0,44.0,D
S0013,Catherine Padilla,Male,10A,,Term 1,7.0,32.0,85.0,37.0,7.0,168.0,33.6,E
S0381,Jonathan Lopez,Female,10A,,Term 1,90.0,62.0,96.0,30.0,57.0,335.0,67.0,B
S0040,Kaitlin Ramos,Female,10A,,Term 1,2.0,9.0,1.0,64.0,0.0,76.0,15.2,F
S0138,Samantha Lambert,Male,10A,,Term 1,16.0,67.0,12.0,86.0,31.0,212.0,42.4,D
S0431,William Jenkins,Female,10C,,Term 1,22.0,76.0,100.0,86.0,51.0,335.0,67.0,B
S0077,John Moody,Male,10B,,Term 1,97.0,33.0,57.0,17.0,98.0,302.0,60.4,B
S0088,Terri Soto,Male,10B,,Term 1,50.90191897654584,91.0,9.0,41.0,25.0,216.90191897654586,43.38038379530917,D
S0459,Tracey Garcia,Male,10C,,Term 1,79.0,50.0,50.40127388535032,69.0,62.0,310.4012738853503,62.08025477707006,B
S0287,Henry Morrison,Female,10A,,Term 1,32.0,56.0,41.0,51.0,24.0,204.0,40.8,D
S0154,John Castro,Other,10C,,Term 1,86.0,85.0,28.0,27.0,43.0,269.0,53.8,C
S0134,Cynthia Nelson,Male,10C,,Term 1,50.90191897654584,94.0,37.0,17.0,72.0,270.90191897654586,54.18038379530917,C
S0180,Charles Garcia,Male,10C,,Term 1,51.0,45.0,35.0,57.0,84.0,272.0,54.4,C
S0301,Mrs. Brenda Guerra,Other,10A,,Term 1,51.0,55.0,76.0,65.0,62.0,309.0,61.8,B
S0192,Jake Riggs,Female,10C,,Term 1,17.0,53.0,26.0,30.0,66.0,192.0,38.4,E
S0315,Lindsey Carr,Male,10C,,Term 1,24.0,62.0,63.0,33.0,9.0,191.0,38.2,E
S0146,Edwin Reynolds,Male,10A,,Term 1,85.0,31.0,71.0,13.0,52.0,252.0,50.4,C
S0245,Robert Murphy,Female,10B,,Term 1,36.0,94.0,81.0,87.0,5.0,303.0,60.6,B
S0213,Mark Ortega,Female,10A,,Term 1,14.0,78.0,4.0,46.0,50.503184713375795,192.5031847133758,38.50063694267516,E
S0171,Nicole Irwin,Other,10B,,Term 1,67.0,6.0,18.0,19.0,73.0,183.0,36.6,E
S0398,Adam Sanchez,Male,10A,,Term 1,93.0,13.0,88.0,43.0,54.0,291.0,58.2,C
S0469,Rodney Glass,Other,10B,,Term 1,86.0,57.0,88.0,36.0,79.0,346.0,69.2,B
S0206,Kristy Graham,Male,10B,,Term 1,50.90191897654584,89.0,100.0,15.0,16.0,270.90191897654586,54.18038379530917,C
S0015,Felicia Simpson,Other,10A,,Term 1,66.0,94.0,45.0,85.0,1.0,291.0,58.2,C
S0438,Gabriel Mcguire,Female,10C,,Term 1,70.0,54.0,86.0,64.0,34.0,308.0,61.6,B
S0439,Michael Franklin,Female,10C,,Term 1,99.0,100.0,85.0,18.0,2.0,304.0,60.8,B
S0340,Douglas Howell,Female,10B,,Term 1,50.90191897654584,87.0,86.0,95.0,62.0,380.90191897654586,76.18038379530917,B+
S0486,Arthur Wade,Male,10C,,Term 1,18.0,11.0,45.0,91.0,51.0,216.0,43.2,D
S0411,Amanda Palmer,Male,10A,,Term 1,76.0,40.0,71.0,11.0,88.0,286.0,57.2,C
S0341,Megan Fox,Female,10A,,Term 1,54.0,81.0,78.0,16.0,57.0,286.0,57.2,C
S0313,Cynthia Carson,Male,10C,,Term 1,19.0,57.0,6.0,37.0,52.0,171.0,34.2,E
S0352,Wanda Smith,Male,10C,,Term 1,10.0,22.0,18.0,81.0,24.0,155.0,31.0,E
S0461,Rachel Harris,Female,10B,,Term 1,0.0,84.0,63.0,9.0,70.0,226.0,45.2,D
S0497,Christopher Johnson,Male,10C,,Term 1,50.90191897654584,19.0,31.0,23.0,86.0,209.90191897654586,41.98038379530917,D
S0388,David Owens,Female,10B,,Term 1,50.90191897654584,9.0,50.40127388535032,16.0,40.0,166.30319286189615,33.26063857237923,E
S0029,Brian Chambers,Male,10A,,Term 1,28.0,5.0,46.0,29.0,32.0,140.0,28.0,F
S0150,Nicholas Jackson,Male,10B,,Term 1,40.0,77.0,100.0,12.0,8.0,237.0,47.4,D
S0332,Kelly Reed,Male,10B,,Term 1,78.0,22.0,29.0,32.0,37.0,198.0,39.6,E
S0462,Brandy Snyder,Female,10C,,Term 1,89.0,87.0,79.0,34.0,73.0,362.0,72.4,B+
S0115,Shelby Williams,Male,10C,,Term 1,60.0,67.0,85.0,60.0,42.0,314.0,62.8,B
S0399,Steven Davila,Other,10B,,Term 1,67.0,92.0,95.0,86.0,12.0,352.0,70.4,B+
S0011,Gail Cuevas,Male,10C,,Term 1,41.0,89.0,1.0,68.0,8.0,207.0,41.4,D
S0271,Marcus Best,Female,10B,,Term 1,66.0,43.0,50.40127388535032,84.0,50.0,293.4012738853503,58.68025477707006,C
S0284,Joshua Watkins,Female,10A,,Term 1,11.0,33.0,16.0,0.0,12.0,72.0,14.4,F
S0062,Kelly Perez,Male,10C,,Term 1,69.0,87.0,24.0,71.0,73.0,324.0,64.8,B
S0225,Paula Romero,Other,10C,,Term 1,42.0,35.0,79.0,46.0,15.0,217.0,43.4,D
S0325,Madeline Davidson,Male,10C,,Term 1,1.0,100.0,28.0,98.0,31.0,258.0,51.6,C
S0373,Chelsea Phillips,Other,10C,,Term 1,5.0,24.0,50.0,69.0,59.0,207.0,41.4,D
S0103,Carla Stevens,Other,10B,,Term 1,40.0,9.0,1.0,94.0,97.0,241.0,48.2,D
S0072,Steven Barry,Other,10B,,Term 1,10.0,20.0,94.0,88.0,7.0,219.0,43.8,D
S0481,Teresa Harris,Female,10C,,Term 1,7.0,30.0,14.0,52.41263157894737,56.0,159.41263157894736,31.88252631578947,E
S0423,Steven Johnson,Other,10B,,Term 1,95.0,68.0,78.0,32.0,25.0,298.0,59.6,C
S0085,Michael Scott,Female,10B,,Term 1,65.0,100.0,47.0,14.0,45.0,271.0,54.2,C
S0223,Janice Foster,Female,10B,,Term 1,50.90191897654584,97.0,84.0,80.0,75.0,386.90191897654586,77.38038379530917,B+
S0066,Tammy Smith PhD,Male,10C,,Term 1,26.0,44.0,100.0,52.41263157894737,38.0,260.41263157894736,52.08252631578947,C
S0432,Jared Buchanan,Other,10B,,Term 1,11.0,40.0,87.0,29.0,79.0,246.0,49.2,D
S0443,Emily Cooper,Male,10B,,Term 1,82.0,54.0,94.0,0.0,73.0,303.0,60.6,B
S0083,Juan Turner,Female,10A,,Term 1,63.0,50.40376569037657,47.0,30.0,3.0,193.40376569037656,38.68075313807531,E
S0277,Gina Long,Male,10A,,Term 1,50.90191897654584,8.0,49.0,74.0,28.0,209.90191897654586,41.98038379530917,D
S0334,Connor Bartlett,Male,10C,,Term 1,12.0,34.0,58.0,18.0,75.0,197.0,39.4,E
S0001,Sean Park,Other,10A,,Term 1,82.0,99.0,52.0,37.0,50.503184713375795,320.5031847133758,64.10063694267515,B
S0408,Amanda Harvey,Male,10B,,Term 1,50.90191897654584,72.0,2.0,88.0,63.0,275.90191897654586,55.18038379530917,C
S0251,Michael Mills,Other,10A,,Term 1,34.0,13.0,64.0,22.0,50.503184713375795,183.5031847133758,36.70063694267516,E
S0240,Dawn Garner,Female,10A,,Term 1,56.0,82.0,34.0,79.0,44.0,295.0,59.0,C
S0321,Mrs. Amanda Lawrence,Male,10A,,Term 1,74.0,44.0,73.0,79.0,53.0,323.0,64.6,B
S0055,Lisa Arnold,Male,10C,,Term 1,35.0,98.0,23.0,32.0,82.0,270.0,54.0,C
S0123,Jessica Williamson,Other,10C,,Term 1,37.0,56.0,13.0,8.0,81.0,195.0,39.0,E
S0392,Dustin Alvarez,Male,10B,,Term 1,50.90191897654584,7.0,83.0,48.0,50.0,238.90191897654586,47.78038379530917,D
S0377,Kathryn Foster DDS,Female,10B,,Term 1,42.0,53.0,42.0,13.0,31.0,181.0,36.2,E
S0044,Karen Fitzgerald,Female,10B,,Term 1,12.0,87.0,7.0,75.0,100.0,281.0,56.2,C
S0002,Michael Williams,Female,10A,,Term 1,91.0,61.0,54.0,100.0,38.0,344.0,68.8,B
S0343,Patrick Bean,Male,10B,,Term 1,50.90191897654584,39.0,20.0,16.0,26.0,151.90191897654586,30.38038379530917,E
S0127,Sara Phillips,Female,10A,,Term 1,66.0,72.0,80.0,7.0,75.0,300.0,60.0,B
S0031,Samantha Knight,Female,10C,,Term 1,50.0,64.0,91.0,100.0,49.0,354.0,70.8,B+
S0035,Desiree Phillips,Female,10B,,Term 1,72.0,85.0,62.0,0.0,51.0,270.0,54.0,C
S0395,Catherine Harris,Male,10C,,Term 1,82.0,98.0,29.0,40.0,22.0,271.0,54.2,C
S0456,Christine Rodriguez,Male,10A,,Term 1,35.0,50.0,73.0,76.0,5.0,239.0,47.8,D
S0300,Sandra Estrada,Other,10B,,Term 1,86.0,24.0,17.0,18.0,2.0,147.0,29.4,F
S0292,Patrick Austin,Male,10C,,Term 1,90.0,15.0,79.0,43.0,96.0,323.0,64.6,B
S0220,Matthew Smith,Other,10C,,Term 1,56.0,17.0,50.40127388535032,97.0,68.0,288.4012738853503,57.68025477707006,C
S0299,Amanda Benton,Male,10A,,Term 1,39.0,100.0,50.40127388535032,92.0,9.0,290.4012738853503,58.08025477707006,C
S0104,Carl Andrews,Female,10C,,Term 1,88.0,83.0,45.0,52.41263157894737,93.0,361.41263157894736,72.28252631578947,B+
S0205,Kerry Bradley,Other,10A,,Term 1,40.0,83.0,12.0,48.0,53.0,236.0,47.2,D
S0026,Christopher Banks,Female,10C,,Term 1,73.0,66.0,57.0,38.0,61.0,295.0,59.0,C
S0319,Joshua Mcbride,Male,10A,,Term 1,76.0,50.40376569037657,91.0,41.0,26.0,284.40376569037653,56.880753138075306,C
S0168,Cheryl Williams,Other,10A,,Term 1,95.0,82.0,77.0,60.0,28.0,342.0,68.4,B
S0447,Miss Laura Gutierrez,Other,10A,,Term 1,39.0,68.0,78.0,76.0,79.0,340.0,68.0,B
S0457,Kyle Simmons,Female,10A,,Term 1,75.0,67.0,56.0,49.0,42.0,289.0,57.8,C
S0429,Lisa King,Other,10B,,Term 1,56.0,37.0,52.0,37.0,28.0,210.0,42.0,D
S0222,Andrew Odonnell,Female,10C,,Term 1,100.0,72.0,46.0,86.0,24.0,328.0,65.6,B
S0106,Sabrina Lamb,Other,10A,,Term 1,2.0,28.0,24.0,57.0,50.503184713375795,161.5031847133758,32.300636942675155,E
S0261,Angelica Lara MD,Other,10B,,Term 1,9.0,23.0,24.0,74.0,97.0,227.0,45.4,D
S0401,Patrick Hayes,Female,10B,,Term 1,9.0,29.0,42.0,55.0,91.0,226.0,45.2,D
S0306,Susan Henson,Male,10A,,Term 1,50.90191897654584,41.0,17.0,16.0,94.0,218.90191897654586,43.78038379530917,D
S0477,Brooke James,Male,10C,,Term 1,14.0,96.0,44.0,13.0,26.0,193.0,38.6,E
S0349,Shelia Mack,Other,10C,,Term 1,13.0,50.40376569037657,87.0,100.0,39.0,289.40376569037653,57.880753138075306,C
S0320,Todd Mcpherson,Male,10C,,Term 1,53.0,57.0,81.0,36.0,83.0,310.0,62.0,B
S0110,Daniel Gardner,Female,10B,,Term 1,44.0,54.0,91.0,44.0,19.0,252.0,50.4,C
S0198,Tracy Kirk,Other,10B,,Term 1,55.0,87.0,50.0,52.41263157894737,56.0,300.41263157894736,60.08252631578947,B
S0450,Larry Estrada,Other,10C,,Term 1,76.0,92.0,31.0,62.0,7.0,268.0,53.6,C
S0057,James Armstrong,Other,10A,,Term 1,56.0,61.0,94.0,79.0,88.0,378.0,75.6,B+
S0047,Morgan Johnson,Male,10B,,Term 1,24.0,6.0,16.0,50.0,51.0,147.0,29.4,F
S0098,Emily Vargas,Other,10A,,Term 1,35.0,62.0,98.0,13.0,4.0,212.0,42.4,D
S0049,Destiny Johnson,Female,10A,,Term 1,18.0,46.0,93.0,0.0,2.0,159.0,31.8,E
S0467,Victor Young,Other,10A,,Term 1,50.90191897654584,15.0,10.0,41.0,73.0,189.90191897654586,37.98038379530917,E
S0253,Christopher Walters,Other,10C,,Term 1,76.0,96.0,90.0,46.0,50.503184713375795,358.5031847133758,71.70063694267516,B+
S0079,Richard Scott,Male,10C,,Term 1,13.0,75.0,19.0,56.0,36.0,199.0,39.8,E
S0156,Joseph Hernandez,Other,10C,,Term 1,53.0,45.0,4.0,53.0,97.0,252.0,50.4,C
S0488,Mrs. Samantha Huang,Female,10A,,Term 1,10.0,43.0,3.0,15.0,82.0,153.0,30.6,E
S0410,Tyler Torres,Male,10B,,Term 1,36.0,77.0,57.0,70.0,50.503184713375795,290.5031847133758,58.10063694267516,C
S0310,Christopher Sims,Male,10A,,Term 1,73.0,79.0,0.0,55.0,66.0,273.0,54.6,C
S0360,Deborah Peck,Female,10C,,Term 1,100.0,4.0,98.0,95.0,36.0,333.0,66.6,B
S0231,Ann Hernandez,Female,10B,,Term 1,46.0,21.0,26.0,89.0,72.0,254.0,50.8,C
S0333,Sandra Campbell,Female,10B,,Term 1,16.0,69.0,25.0,21.0,49.0,180.0,36.0,E
S0097,Deanna Hall,Female,10B,,Term 1,33.0,10.0,78.0,98.0,6.0,225.0,45.0,D
S0367,Gerald Copeland II,Other,10C,,Term 1,38.0,33.0,61.0,14.0,67.0,213.0,42.6,D
S0414,Troy Escobar,Male,10C,,Term 1,73.0,51.0,83.0,16.0,21.0,244.0,48.8,D
S0406,Keith Morgan,Male,10C,,Term 1,14.0,55.0,77.0,4.0,30.0,180.0,36.0,E
S0290,Shelby Armstrong,Female,10B,,Term 1,57.0,74.0,100.0,100.0,75.0,406.0,81.2,A
S0008,Ryan Holloway,Male,10A,,Term 1,61.0,43.0,31.0,61.0,38.0,234.0,46.8,D
S0374,Aimee Barry,Other,10B,,Term 1,30.0,57.0,30.0,59.0,42.0,218.0,43.6,D
S0449,Mitchell Baker,Other,10B,,Term 1,38.0,4.0,50.40127388535032,82.0,52.0,226.40127388535032,45.28025477707006,D
S0089,Joshua Bullock,Other,10C,,Term 1,96.0,48.0,20.0,100.0,10.0,274.0,54.8,C
S0041,Travis Hall,Other,10B,,Term 1,49.0,8.0,0.0,63.0,100.0,220.0,44.0,D
S0038,Mario Turner,Other,10A,,Term 1,0.0,3.0,93.0,2.0,35.0,133.0,26.6,F
S0199,Michael Cook,Female,10C,,Term 1,41.0,10.0,57.0,87.0,100.0,295.0,59.0,C
S0288,Shawn Brown,Female,10C,,Term 1,50.90191897654584,17.0,83.0,17.0,29.0,196.90191897654586,39.38038379530917,E
S0480,Sarah Wright,Female,10B,,Term 1,16.0,80.0,55.0,47.0,98.0,296.0,59.2,C
S0151,Gabrielle Cervantes,Female,10A,,Term 1,87.0,2.0,20.0,64.0,98.0,271.0,54.2,C
S0161,Tina Thompson,Male,10B,,Term 1,77.0,92.0,67.0,25.0,9.0,270.0,54.0,C
S0014,Amy Smith,Male,10C,,Term 1,3.0,50.40376569037657,91.0,5.0,0.0,149.40376569037656,29.880753138075313,F
S0304,Raymond Butler,Male,10A,,Term 1,95.0,17.0,91.0,92.0,94.0,389.0,77.8,B+
S0309,Emily Keith,Male,10B,,Term 1,98.0,76.0,42.0,54.0,11.0,281.0,56.2,C
S0362,Debbie Harris,Other,10A,,Term 1,95.0,95.0,34.0,61.0,88.0,373.0,74.6,B+
S0064,Bonnie Reed,Female,10A,,Term 1,91.0,97.0,39.0,97.0,71.0,395.0,79.0,B+
S0215,Keith Lambert,Other,10C,,Term 1,60.0,93.0,84.0,30.0,54.0,321.0,64.2,B
S0350,Melissa Adams,Male,10B,,Term 1,22.0,34.0,81.0,7.0,71.0,215.0,43.0,D
S0050,Donald Hale,Female,10A,,Term 1,92.0,66.0,71.0,66.0,7.0,302.0,60.4,B
S0054,Monica Davis,Male,10B,,Term 1,90.0,52.0,25.0,45.0,50.503184713375795,262.5031847133758,52.50063694267516,C
S0069,Stephanie Snow,Other,10C,,Term 1,28.0,38.0,74.0,77.0,66.0,283.0,56.6,C
S0415,Nancy Long,Male,10B,,Term 1,25.0,80.0,57.0,43.0,16.0,221.0,44.2,D
S0164,Mackenzie Pennington,Other,10B,,Term 1,22.0,52.0,0.0,56.0,37.0,167.0,33.4,E
S0446,Carol Robinson,Other,10A,,Term 1,55.0,0.0,72.0,92.0,11.0,230.0,46.0,D
S0263,Richard Campos,Other,10C,,Term 1,49.0,58.0,4.0,46.0,62.0,219.0,43.8,D
S0389,Elizabeth Murray,Other,10B,,Term 1,41.0,24.0,91.0,85.0,8.0,249.0,49.8,D
S0152,Wesley Bass,Female,10A,,Term 1,23.0,13.0,16.0,28.0,59.0,139.0,27.8,F
S0302,Felicia Alvarez,Male,10A,,Term 1,18.0,70.0,44.0,29.0,72.0,233.0,46.6,D
S0254,Edgar Martin,Other,10B,,Term 1,20.0,76.0,91.0,24.0,74.0,285.0,57.0,C
S0082,Laura Turner,Male,10B,,Term 1,54.0,29.0,7.0,90.0,32.0,212.0,42.4,D
S0445,Stacy Mcguire,Other,10C,,Term 1,26.0,34.0,8.0,34.0,54.0,156.0,31.2,E
S0358,Tricia Mann,Male,10B,,Term 1,86.0,21.0,57.0,100.0,50.503184713375795,314.5031847133758,62.900636942675156,B
S0380,Michelle Petersen,Male,10A,,Term 1,50.90191897654584,32.0,34.0,64.0,14.0,194.90191897654586,38.98038379530917,E
S0142,Pamela Flores,Male,10A,,Term 1,18.0,68.0,30.0,21.0,53.0,190.0,38.0,E
S0390,Ronald Gonzalez,Other,10C,,Term 1,3.0,46.0,90.0,67.0,3.0,209.0,41.8,D
S0042,Erica Scott,Male,10A,,Term 1,88.0,39.0,31.0,22.0,16.0,196.0,39.2,E
S0485,Dawn Mcmahon,Other,10B,,Term 1,36.0,64.0,30.0,71.0,14.0,215.0,43.0,D
S0387,Brenda Shah,Female,10B,,Term 1,99.0,65.0,76.0,84.0,58.0,382.0,76.4,B+
S0191,Anthony Little,Other,10B,,Term 1,7.0,50.40376569037657,20.0,59.0,50.503184713375795,186.90695040375235,37.38139008075047,E
S0111,William Green,Other,10B,,Term 1,60.0,93.0,80.0,18.0,68.0,319.0,63.8,B
S0126,Shannon Jackson,Other,10B,,Term 1,50.90191897654584,85.0,54.0,47.0,50.503184713375795,287.40510368992165,57.48102073798433,C
S0391,Bradley Weber,Female,10B,,Term 1,87.0,57.0,85.0,13.0,95.0,337.0,67.4,B
S0173,James Haynes,Other,10C,,Term 1,90.0,18.0,29.0,5.0,96.0,238.0,47.6,D
S0195,Maureen Ayers,Male,10C,,Term 1,3.0,37.0,10.0,53.0,20.0,123.0,24.6,F
S0442,Brandi Warner,Female,10B,,Term 1,85.0,77.0,12.0,76.0,15.0,265.0,53.0,C
S0259,Tracey Huffman,Female,10B,,Term 1,49.0,1.0,91.0,57.0,83.0,281.0,56.2,C
S0404,William Soto,Other,10B,,Term 1,81.0,72.0,58.0,87.0,50.0,348.0,69.6,B
S0099,Mindy Barrett,Other,10A,,Term 1,64.0,84.0,31.0,59.0,54.0,292.0,58.4,C
S0417,Kylie Townsend,Female,10C,,Term 1,100.0,47.0,91.0,80.0,48.0,366.0,73.2,B+
S0032,Douglas Norman,Female,10B,,Term 1,22.0,65.0,63.0,52.41263157894737,29.0,231.41263157894736,46.28252631578947,D
S0296,Ryan Griffith,Other,10B,,Term 1,50.0,48.0,76.0,63.0,66.0,303.0,60.6,B
S0326,Charles Mills,Female,10A,,Term 1,61.0,77.0,41.0,52.41263157894737,56.0,287.41263157894736,57.48252631578947,C
S0428,Tyler Young,Other,10A,,Term 1,32.0,54.0,50.40127388535032,64.0,2.0,202.40127388535032,40.480254777070066,D
S0148,Eric Johnston,Female,10A,,Term 1,27.0,18.0,67.0,12.0,55.0,179.0,35.8,E
S0107,Glenda Powell,Other,10B,,Term 1,45.0,40.0,35.0,52.41263157894737,80.0,252.41263157894736,50.48252631578947,C
S0094,David Grant,Male,10A,,Term 1,67.0,21.0,100.0,48.0,34.0,270.0,54.0,C
S0365,Kari Hall,Other,10B,,Term 1,9.0,61.0,16.0,84.0,52.0,222.0,44.4,D
S0176,Ryan Lutz,Male,10C,,Term 1,46.0,50.40376569037657,100.0,60.0,32.0,288.40376569037653,57.6807531380753,C
S0187,Laura Bowen,Other,10C,,Term 1,100.0,8.0,50.40127388535032,78.0,50.503184713375795,286.90445859872614,57.38089171974523,C
S0120,Justin Ramos,Other,10A,,Term 1,12.0,94.0,68.0,24.0,4.0,202.0,40.4,D
S0048,Karen Wilkerson,Male,10A,,Term 1,0.0,48.0,62.0,0.0,50.0,160.0,32.0,E
S0141,Kimberly Cobb,Female,10B,,Term 1,32.0,26.0,80.0,81.0,3.0,222.0,44.4,D
S0016,Sarah Pearson,Other,10B,,Term 1,49.0,6.0,64.0,13.0,91.0,223.0,44.6,D
S0217,Ashley Morgan,Male,10C,,Term 1,34.0,50.40376569037657,22.0,4.0,58.0,168.40376569037656,33.68075313807531,E
S0169,Jennifer Carpenter,Other,10A,,Term 1,12.0,18.0,73.0,43.0,56.0,202.0,40.4,D
S0474,Angela Vargas,Female,10C,,Term 1,5.0,50.40376569037657,37.0,43.0,59.0,194.40376569037656,38.88075313807531,E
S0303,Darius Acosta,Female,10B,,Term 1,87.0,0.0,14.0,52.41263157894737,26.0,179.41263157894736,35.88252631578947,E
S0344,John Barrera,Male,10A,,Term 1,54.0,97.0,13.0,30.0,95.0,289.0,57.8,C
S0280,Ryan Cox,Female,10A,,Term 1,57.0,5.0,77.0,70.0,100.0,309.0,61.8,B
S0348,Anthony Morrison,Female,10A,,Term 1,77.0,34.0,96.0,80.0,85.0,372.0,74.4,B+
S0216,Aaron Patterson,Male,10A,,Term 1,78.0,79.0,16.0,37.0,5.0,215.0,43.0,D
S0458,Larry Martin,Male,10C,,Term 1,84.0,24.0,89.0,97.0,4.0,298.0,59.6,C
S0084,Jason Buchanan,Male,10A,,Term 1,53.0,64.0,20.0,32.0,43.0,212.0,42.4,D
S0412,James Rivera,Female,10C,,Term 1,1.0,35.0,59.0,56.0,36.0,187.0,37.4,E
S0133,Robert Jefferson,Female,10C,,Term 1,50.90191897654584,38.0,26.0,2.0,80.0,196.90191897654586,39.38038379530917,E
S0337,Robert Hunter,Female,10C,,Term 1,2.0,45.0,8.0,90.0,32.0,177.0,35.4,E
S0454,Patricia Floyd,Other,10C,,Term 1,82.0,11.0,50.0,88.0,67.0,298.0,59.6,C
S0384,Micheal Mcdonald,Male,10B,,Term 1,29.0,47.0,3.0,2.0,73.0,154.0,30.8,E
S0132,William Neal,Male,10C,,Term 1,65.0,35.0,27.0,75.0,38.0,240.0,48.0,D
S0227,Jesse Yates,Other,10C,,Term 1,99.0,35.0,37.0,56.0,49.0,276.0,55.2,C
S0318,Kristin Johnson,Other,10B,,Term 1,25.0,35.0,85.0,92.0,50.503184713375795,287.5031847133758,57.50063694267516,C
S0248,Jennifer Singh,Male,10B,,Term 1,50.90191897654584,40.0,43.0,52.41263157894737,55.0,241.3145505554932,48.26291011109864,D
S0339,Jennifer Jennings,Male,10C,,Term 1,11.0,34.0,21.0,53.0,30.0,149.0,29.8,F
S0181,James Peterson,Other,10C,,Term 1,80.0,29.0,28.0,31.0,22.0,190.0,38.0,E
S0149,Douglas Hernandez,Other,10B,,Term 1,54.0,50.40376569037657,12.0,10.0,93.0,219.40376569037656,43.88075313807531,D
S0024,Scott Alvarez,Other,10C,,Term 1,11.0,99.0,38.0,38.0,34.0,220.0,44.0,D
S0052,Edwin Martinez,Other,10C,,Term 1,97.0,85.0,29.0,95.0,100.0,406.0,81.2,A
S0121,Anne Price,Female,10B,,Term 1,65.0,84.0,75.0,20.0,32.0,276.0,55.2,C
S0490,Carla Young,Other,10A,,Term 1,53.0,21.0,33.0,0.0,100.0,207.0,41.4,D
S0086,Wendy Wood,Male,10A,,Term 1,50.90191897654584,24.0,67.0,33.0,51.0,225.90191897654586,45.18038379530917,D
S0338,Diane Mendoza,Other,10C,,Term 1,50.90191897654584,100.0,0.0,60.0,1.0,211.90191897654586,42.38038379530917,D
